127.0.0.1, 2020-01-15 19:02:10, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001187
127.0.0.1, 2020-01-15 19:02:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2020-01-15 19:02:41, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001291
127.0.0.1, 2020-01-15 19:02:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2020-01-15 19:03:11, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001075
127.0.0.1, 2020-01-15 19:03:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000151
127.0.0.1, 2020-01-15 19:03:43, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.000963
127.0.0.1, 2020-01-15 19:03:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000154
127.0.0.1, 2020-01-15 19:05:43, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.000930
127.0.0.1, 2020-01-15 19:05:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2020-01-15 19:05:57, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001860
127.0.0.1, 2020-01-15 19:05:57, POST, /movies/default/call/json/final, HTTP/1.1, 404, 0.000693
127.0.0.1, 2020-01-15 19:05:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2020-01-15 19:06:34, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001271
127.0.0.1, 2020-01-15 19:06:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2020-01-15 19:06:35, POST, /Traffic/default/call/json/final, HTTP/1.1, 404, 1.153662
127.0.0.1, 2020-01-15 19:07:34, GET, /Traffic/static/test.html, HTTP/1.1, 304, 0.001249
127.0.0.1, 2020-01-15 19:07:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2020-01-15 19:07:35, POST, /Traffic/default/call/json/final, HTTP/1.1, 500, 0.167622
127.0.0.1, 2020-01-15 19:14:01, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001035
127.0.0.1, 2020-01-15 19:14:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2020-01-15 19:14:26, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.001354
127.0.0.1, 2020-01-15 19:14:26, POST, /movies/default/call/json/final, HTTP/1.1, 404, 0.000584
127.0.0.1, 2020-01-15 19:14:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2020-01-15 19:15:38, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.000384
127.0.0.1, 2020-01-15 19:15:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2020-01-15 19:15:49, GET, /Traffic/static/test.html, HTTP/1.1, 200, 0.002291
127.0.0.1, 2020-01-15 19:15:49, POST, /Traffic/default/call/json/final, HTTP/1.1, 500, 0.016041
127.0.0.1, 2020-01-15 19:15:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2020-01-15 19:19:02, GET, /Traffic/static/test.html, HTTP/1.1, 304, 0.000963
127.0.0.1, 2020-01-15 19:19:02, POST, /Traffic/default/call/json/final, HTTP/1.1, 500, 0.013275
127.0.0.1, 2020-01-15 19:19:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2020-01-15 19:19:26, GET, /Traffic/static/test.html, HTTP/1.1, 304, 0.000995
127.0.0.1, 2020-01-15 19:19:26, POST, /Traffic/default/call/json/final, HTTP/1.1, 500, 0.014826
127.0.0.1, 2020-01-15 19:19:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000160
127.0.0.1, 2020-01-15 19:21:29, GET, /Traffic/static/test.html, HTTP/1.1, 304, 0.001107
127.0.0.1, 2020-01-15 19:21:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2020-01-15 19:21:31, POST, /Traffic/default/call/json/final, HTTP/1.1, 200, 1.540205
